Symbol,Description,Category,Score
CTNNB1,Catenin Beta 1,Protein Coding,1468.05
BRAF,"B-Raf Proto-Oncogene, Serine/Threonine Kinase",Protein Coding,1459.02
PIK3CA,"Phosphatidylinositol-4,5-Bisphosphate 3-Kinase Catalytic Subunit Alpha",Protein Coding,1426.12
PDGFRL,Platelet Derived Growth Factor Receptor Like,Protein Coding,1347.56
TP53,Tumor Protein P53,Protein Coding,1168.06
APC,APC Regulator Of WNT Signaling Pathway,Protein Coding,1150.85
AXIN2,Axin 2,Protein Coding,1134.75
BAX,"BCL2 Associated X, Apoptosis Regulator",Protein Coding,1094.27
AKT1,AKT Serine/Threonine Kinase 1,Protein Coding,1093.89
EP300,E1A Binding Protein P300,Protein Coding,1091.71
NRAS,"NRAS Proto-Oncogene, GTPase",Protein Coding,1088.14
MLH3,MutL Homolog 3,Protein Coding,1083.42
DCC,DCC Netrin 1 Receptor,Protein Coding,1081.36
MCC,MCC Regulator Of WNT Signaling Pathway,Protein Coding,1069.19
FLCN,Folliculin,Protein Coding,1066.99
BUB1B,BUB1 Mitotic Checkpoint Serine/Threonine Kinase B,Protein Coding,1055.14
FGFR3,Fibroblast Growth Factor Receptor 3,Protein Coding,1051.79
DLC1,DLC1 Rho GTPase Activating Protein,Protein Coding,1038.46
PTPRJ,Protein Tyrosine Phosphatase Receptor Type J,Protein Coding,1034.17
BUB1,BUB1 Mitotic Checkpoint Serine/Threonine Kinase,Protein Coding,1030.47
RAD54B,RAD54 Homolog B,Protein Coding,1024.03
PTPN12,Protein Tyrosine Phosphatase Non-Receptor Type 12,Protein Coding,1023.56
MLH1,MutL Homolog 1,Protein Coding,845.09
MSH2,MutS Homolog 2,Protein Coding,837.9
MSH6,MutS Homolog 6,Protein Coding,837.37
CCND1,Cyclin D1,Protein Coding,780.13
AURKA,Aurora Kinase A,Protein Coding,736.76
TLR2,Toll Like Receptor 2,Protein Coding,717.41
PLA2G2A,Phospholipase A2 Group IIA,Protein Coding,673.54
SRC,"SRC Proto-Oncogene, Non-Receptor Tyrosine Kinase",Protein Coding,668.44
SMAD4,SMAD Family Member 4,Protein Coding,508.67
PMS2,"PMS1 Homolog 2, Mismatch Repair System Component",Protein Coding,508.25
CDH1,Cadherin 1,Protein Coding,494.31
MUTYH,MutY DNA Glycosylase,Protein Coding,489.95
PMS1,"PMS1 Homolog 1, Mismatch Repair System Component",Protein Coding,476.62
CHEK2,Checkpoint Kinase 2,Protein Coding,475.46
CTNNA1,Catenin Alpha 1,Protein Coding,474.92
EPCAM,Epithelial Cell Adhesion Molecule,Protein Coding,474.86
ATM,ATM Serine/Threonine Kinase,Protein Coding,468.11
BRCA2,BRCA2 DNA Repair Associated,Protein Coding,467.93
IGF2,Insulin Like Growth Factor 2,Protein Coding,458.21
ERBB2,Erb-B2 Receptor Tyrosine Kinase 2,Protein Coding,457.7
MET,"MET Proto-Oncogene, Receptor Tyrosine Kinase",Protein Coding,456.9
PALB2,Partner And Localizer Of BRCA2,Protein Coding,453.72
PPARG,Peroxisome Proliferator Activated Receptor Gamma,Protein Coding,451.66
POLE,"DNA Polymerase Epsilon, Catalytic Subunit",Protein Coding,450.32
BRIP1,BRCA1 Interacting Helicase 1,Protein Coding,446.43
AMER1,APC Membrane Recruitment Protein 1,Protein Coding,446.24
PIK3R1,Phosphoinositide-3-Kinase Regulatory Subunit 1,Protein Coding,445.69
BRCA1,BRCA1 DNA Repair Associated,Protein Coding,445.34
RET,Ret Proto-Oncogene,Protein Coding,440.63
POLD1,"DNA Polymerase Delta 1, Catalytic Subunit",Protein Coding,440.43
FGFR2,Fibroblast Growth Factor Receptor 2,Protein Coding,433.42
SOX9,SRY-Box Transcription Factor 9,Protein Coding,432.37
FBXW7,F-Box And WD Repeat Domain Containing 7,Protein Coding,426.02
ARID1A,AT-Rich Interaction Domain 1A,Protein Coding,424.12
BCL10,BCL10 Immune Signaling Adaptor,Protein Coding,422.03
BLM,BLM RecQ Like Helicase,Protein Coding,419.19
RAD51D,RAD51 Paralog D,Protein Coding,418.18
FZD3,Frizzled Class Receptor 3,Protein Coding,417.12
RBFOX1,RNA Binding Fox-1 Homolog 1,Protein Coding,416.25
MT-ND1,Mitochondrially Encoded NADH:Ubiquinone Oxidoreductase Core Subunit 1,Protein Coding,412.32
C11orf65,Chromosome 11 Open Reading Frame 65,Protein Coding,411.62
DMD,Dystrophin,Protein Coding,411.25
SLC9A9,Solute Carrier Family 9 Member A9,Protein Coding,410.58
MYO1B,Myosin IB,Protein Coding,408.32
PKHD1,PKHD1 Ciliary IPT Domain Containing Fibrocystin/Polyductin,Protein Coding,407.59
TCERG1,Transcription Elongation Regulator 1,Protein Coding,407.45
INS-IGF2,INS-IGF2 Readthrough,Protein Coding,406.26
MT-CO1,Mitochondrially Encoded Cytochrome C Oxidase I,Protein Coding,336.16
ZEB1,Zinc Finger E-Box Binding Homeobox 1,Protein Coding,203.36
E2F4,E2F Transcription Factor 4,Protein Coding,195.66
AGO2,Argonaute RISC Catalytic Component 2,Protein Coding,173.65
TFDP1,Transcription Factor Dp-1,Protein Coding,170.76
TUG1,Taurine Up-Regulated 1,Protein Coding,170.13
UHRF1,Ubiquitin Like With PHD And Ring Finger Domains 1,Protein Coding,169.93
SOX5,SRY-Box Transcription Factor 5,Protein Coding,165.52
RHO,Rhodopsin,Protein Coding,165.23
BLACAT1,BLACAT1 Overlapping LEMD1 Locus,Protein Coding,164.47
TINCR,TINCR Ubiquitin Domain Containing,Protein Coding,158.89
TMEM238L,Transmembrane Protein 238 Like,Protein Coding,156.95
C10orf143,Chromosome 10 Open Reading Frame 143,Protein Coding,150
IQANK1,IQ Motif And Ankyrin Repeat Containing 1,Protein Coding,150
KRAS,"KRAS Proto-Oncogene, GTPase",Protein Coding,116.5
PTGS2,Prostaglandin-Endoperoxide Synthase 2,Protein Coding,90.09
EGFR,Epidermal Growth Factor Receptor,Protein Coding,85.63
TGFBR2,Transforming Growth Factor Beta Receptor 2,Protein Coding,83.75
ODC1,Ornithine Decarboxylase 1,Protein Coding,81.13
TCF7L2,Transcription Factor 7 Like 2,Protein Coding,80.37
CEACAM5,CEA Cell Adhesion Molecule 5,Protein Coding,80.23
MYC,"MYC Proto-Oncogene, BHLH Transcription Factor",Protein Coding,79.22
BCL2,BCL2 Apoptosis Regulator,Protein Coding,78.05
CASP3,Caspase 3,Protein Coding,77.05
CDKN1A,Cyclin Dependent Kinase Inhibitor 1A,Protein Coding,76.98
MMP7,Matrix Metallopeptidase 7,Protein Coding,75.17
TYMS,Thymidylate Synthetase,Protein Coding,74.6
HRAS,"HRas Proto-Oncogene, GTPase",Protein Coding,72.11
CD44,CD44 Molecule (Indian Blood Group),Protein Coding,71.84
EGF,Epidermal Growth Factor,Protein Coding,71.29
MGMT,O-6-Methylguanine-DNA Methyltransferase,Protein Coding,71.18
KRT20,Keratin 20,Protein Coding,70.75
MUC2,"Mucin 2, Oligomeric Mucus/Gel-Forming",Protein Coding,70.51
BIRC5,Baculoviral IAP Repeat Containing 5,Protein Coding,69.92
MMP9,Matrix Metallopeptidase 9,Protein Coding,69.85
MMP2,Matrix Metallopeptidase 2,Protein Coding,69.45
HIF1A,Hypoxia Inducible Factor 1 Subunit Alpha,Protein Coding,69.16
CDX2,Caudal Type Homeobox 2,Protein Coding,68.91
BCL2L1,BCL2 Like 1,Protein Coding,68.27
CEACAM7,CEA Cell Adhesion Molecule 7,Protein Coding,66.31
JUN,"Jun Proto-Oncogene, AP-1 Transcription Factor Subunit",Protein Coding,65.28
CDX1,Caudal Type Homeobox 1,Protein Coding,65.28
DNMT1,DNA Methyltransferase 1,Protein Coding,64.44
MSH3,MutS Homolog 3,Protein Coding,64.37
PLAU,"Plasminogen Activator, Urokinase",Protein Coding,63.7
CASP9,Caspase 9,Protein Coding,62.58
GUCY2C,Guanylate Cyclase 2C,Protein Coding,62.26
TYMP,Thymidine Phosphorylase,Protein Coding,61.69
DPYD,Dihydropyrimidine Dehydrogenase,Protein Coding,61.65
TOP1,DNA Topoisomerase I,Protein Coding,61.38
CYCS,"Cytochrome C, Somatic",Protein Coding,60.83
NFE2L2,NFE2 Like BZIP Transcription Factor 2,Protein Coding,60.76
HNF4A,Hepatocyte Nuclear Factor 4 Alpha,Protein Coding,60.19
CDKN2A,Cyclin Dependent Kinase Inhibitor 2A,Protein Coding,59.75
GDF15,Growth Differentiation Factor 15,Protein Coding,59.55
PARP1,Poly(ADP-Ribose) Polymerase 1,Protein Coding,59.41
CASP8,Caspase 8,Protein Coding,59.16
CCKBR,Cholecystokinin B Receptor,Protein Coding,59.02
MAPK1,Mitogen-Activated Protein Kinase 1,Protein Coding,58.84
SMAD3,SMAD Family Member 3,Protein Coding,58.43
CEACAM3,CEA Cell Adhesion Molecule 3,Protein Coding,58.06
