"id","symbol"
1,"GAB"
1,"A1BG"
1,"HYST2477"
1,"ABG"
1,"A1B"
10,"PNAT"
10,"NAT2"
10,"NAT-2"
10,"AAC2"
100,"ADA1"
100,"ADA"
1000,"CDHN"
1000,"ACOGS"
1000,"CDH2"
1000,"CDw325"
1000,"ARVD14"
1000,"ADHD8"
1000,"CD325"
1000,"NCAD"
10000,"MPPH"
10000,"AKT3"
10000,"PKB-GAMMA"
10000,"RAC-PK-gamma"
10000,"STK-2"
10000,"RAC-gamma"
10000,"PRKBG"
10000,"PKBG"
10000,"MPPH2"
100008586,"AL4"
100008586,"GAGE-7B"
100008586,"CT4.7"
100008586,"GAGE-7"
100008586,"GAGE12F"
100008586,"GAGE-8"
100008586,"GAGE7B"
100008587,"RNA5-8S5"
100009613,"ANO1-AS2"
100009667,"POU5F1P5"
100009668,"POU5F1P6"
100009669,"POU5F1P7"
100009676,"ZBTB11-AS1"
10001,"ARC33"
10001,"MED6"
10001,"NY-REN-28"
10002,"RP37"
10002,"NR2E3"
10002,"rd7"
10002,"RNR"
10002,"PNR"
10002,"ESCS"
10003,"GCP3"
10003,"NAALAD2"
10003,"GPCIII"
10003,"GCPIII"
100033392,"VN2R3P"
100033398,"VN2R10P"
100033399,"VN2R11P"
100033407,"VN2R19P"
100033409,"OTX2P1"
100033411,"DUXB"
100033413,"SNORD116-1"
100033414,"SNORD116-2"
100033415,"SNORD116-3"
100033416,"SNORD116-4"
100033417,"SNORD116-5"
100033418,"SNORD116-6"
100033419,"SNORD116-7"
100033420,"SNORD116-8"
100033421,"SNORD116-9"
100033422,"SNORD116-10"
100033423,"SNORD116-11"
100033424,"SNORD116-12"
100033425,"SNORD116-13"
100033426,"SNORD116-14"
100033427,"SNORD116-15"
100033428,"SNORD116-16"
100033429,"SNORD116-17"
100033430,"SNORD116-18"
100033431,"SNORD116-20"
100033432,"SNORD116-21"
100033433,"SNORD116-22"
100033434,"SNORD116-23"
100033435,"SNORD116-24"
100033436,"SNORD116-25"
100033437,"SNORD115-2"
100033438,"SNORD116-26"
100033439,"SNORD116-27"
100033440,"SNORD115-3"
100033441,"SNORD115-4"
100033442,"SNORD115-5"
100033443,"SNORD115-6"
100033444,"SNORD115-7"
100033445,"SNORD115-8"
100033446,"SNORD115-9"
100033447,"SNORD115-10"
100033448,"SNORD115-11"
100033449,"SNORD115-12"
100033450,"SNORD115-13"
100033451,"SNORD115-14"
100033453,"SNORD115-15"
100033454,"SNORD115-16"
100033455,"SNORD115-17"
100033456,"SNORD115-18"
100033458,"SNORD115-19"
100033460,"SNORD115-20"
100033603,"SNORD115-21"
100033799,"SNORD115-22"
100033800,"SNORD115-23"
100033801,"SNORD115-25"
100033802,"SNORD115-26"
100033803,"SNORD115-29"
100033804,"SNORD115-30"
100033805,"SNORD115-31"
100033806,"SNORD115-32"
100033807,"SNORD115-33"
100033808,"SNORD115-34"
100033809,"SNORD115-35"
100033810,"SNORD115-36"
100033811,"SNORD115-37"
100033812,"SNORD115-38"
100033813,"SNORD115-39"
100033814,"SNORD115-40"
100033815,"SNORD115-41"
100033816,"SNORD115-42"
100033817,"SNORD115-43"
100033818,"SNORD115-44"
100033820,"SNORD116-28"
100033821,"SNORD116-29"
100033822,"SNORD115-48"
100034743,"PDZK1P2"
100036563,"SNORD115-24"
100036564,"SNORD115-27"
100036565,"SNORD115-28"
100036566,"SNORD115-45"
100036567,"SNORD115-47"
100036574,"HMGN1P3"
100036575,"HMGN1P4"
100037280,"UBE2D3P1"
100037417,"DDTL"
100037417,"KB-226F1.2"
100038246,"TLX1NB"
10004,"NAALADASEL"
10004,"NAALADL1"
10004,"I100"
10004,"HILAP"
100048903,"MCCD1P1"
100048904,"DDX39BP1"
100048907,"ZDHHC20P1"
100048908,"ZDHHC20P2"
100048909,"TMEM183AP1"
100048912,"CDKN2B-AS1"
100048922,"RPL35AP4"
100048923,"DDX39BP2"
100048924,"MCCD1P2"
100049076,"GUSBP9"
100049587,"SIGLEC14"
100049717,"JKAMPP1"
10005,"PTE-2"
10005,"NAP1"
10005,"PTE-1"
10005,"hACTE-III"
10005,"HNAACTE"
10005,"PTE1"
10005,"hTE"
10005,"PTE2"
10005,"ACOT8"
10006,"E3B1"
10006,"ABI-1"
10006,"NAP1BP"
10006,"ABLBP4"
10006,"SSH3BP"
10006,"SSH3BP1"
10006,"ABI1"
10007,"HLN"
10007,"GNP1"
10007,"GNPI"
10007,"GNPDA1"
10007,"GNPDA"
100073347,"MIMT1"
10008,"HOKPP"
10008,"MiRP2"
10008,"HYPP"
10008,"KCNE3"
10008,"BRGDA6"
10009,"ZBTB33"
10009,"ZNF-kaiso"
10009,"ZNF348"
100093624,"CDH12P3"
100093625,"CDH12P1"
100093626,"CDH12P4"
100093630,"SNHG8"
100093631,"GTF2IP4"
100093698,"GS1-600G8.3"
1001,"CDH3"
1001,"PCAD"
1001,"CDHP"
1001,"HJMD"
10010,"ITRAF"
10010,"TANK"
10010,"I-TRAF"
100101111,"GXYLT1P1"
100101115,"TTTY21B"
100101116,"TTTY1B"
100101117,"TTTY2B"
100101118,"TTTY8B"
100101119,"SKP1P3"
100101120,"TTTY7B"
100101121,"TTTY23B"
100101266,"HAVCR1P1"
100101267,"POM121C"
100101267,"POM121-2"
100101268,"SPDYE12"
100101268,"SPDYE12P"
100101405,"TMA16P1"
100101407,"TMA16P2"
100101467,"ZNF-WYM"
100101467,"ZNF917"
100101467,"ZSCAN30"
100101467,"ZNF397OS"
100101490,"MCTS2P"
100101490,"PSIMCT-1"
100101490,"MCTS2"
100101629,"GAGE8"
100101629,"CT4.8"
100101629,"GAGE-8"
100101932,"GNG5P3"
100101935,"GNG5P5"
100101938,"ANKRD26P3"
10011,"SRA1"
10011,"SRAP"
10011,"STRAA1"
10011,"SRA"
10011,"pp7684"
100113373,"HMGN2P17"
100113379,"SNORD121A"
100113380,"SNORD125"
100113381,"SNORD19B"
100113382,"SNORD105B"
100113383,"PCBP3-OT1"
100113384,"SNORD123"
100113386,"UCKL1-AS1"
100113389,"SNORD127"
100113391,"SNORD126"
100113392,"SNORD11B"
100113393,"SNORD12B"
100113402,"SNORD111B"
100113403,"LIN28B-AS1"
100113404,"LINC00583"
100113407,"TMEM170B"
100114903,"NRBF2P2"
100118954,"NRBF2P5"
100124332,"YBX2P1"
100124394,"KLF3P2"
100124412,"FAM138E"
100124516,"SNORD58C"
100124534,"SNORA84"
100124535,"SNORA36C"
100124536,"SNORA38B"
100124537,"SNORA70B"
100124538,"SNORA70C"
100124539,"SNORA11B"
100124540,"SNORA11C"
100124541,"SNORA11D"
100124700,"HOTAIR"
100125288,"GLP-1"
100125288,"GATAD3"
100125288,"ZGLP1"
100125288,"GLP1"
100125387,"HNRNPRP1"
100125556,"FAM86JP"
100126270,"FMR1-AS1"
100126296,"MIR298"
100126297,"MIR300"
100126299,"VTRNA2-1"
100126301,"MIR509-2"
100126302,"MIR450B"
100126303,"MIR890"
100126304,"MIR891B"
100126306,"MIR888"
100126307,"MIR892B"
100126308,"MIR541"
100126309,"MIR875"
100126310,"MIR876"
100126311,"MIR147B"
100126313,"MIR744"
100126314,"MIR877"
100126316,"MIR873"
100126317,"MIR374B"
100126318,"MIR301B"
100126319,"MIR216B"
100126320,"MIR920"
100126321,"MIR922"
100126324,"MIR934"
100126325,"MIR935"
100126326,"MIR936"
100126327,"MIR938"
100126328,"MIR940"
100126329,"MIR941-1"
100126330,"MIR941-4"
100126331,"MIR942"
100126332,"MIR943"
100126333,"MIR708"
100126334,"MIR885"
100126335,"MIR543"
100126336,"MIR208B"
100126337,"MIR509-3"
100126338,"MIR937"
100126339,"MIR941-2"
100126340,"MIR944"
100126341,"MIR891A"
100126342,"MIR892A"
100126343,"MIR874"
100126345,"MIR889"
100126346,"MIR190B"
100126347,"MIR887"
100126348,"MIR760"
100126349,"MIR921"
100126350,"MIR933"
100126351,"MIR939"
100126354,"MIR297"
100126355,"MIR365A"
100126356,"MIR365B"
100126572,"CX23"
100126572,"GJE1"
100126596,"CUX2P1"
100126693,"LINC00322"
100126791,"EGOT"
100126793,"GHRLOS"
100126825,"GJA6P"
100127206,"DFNB120"
100127206,"MINAR2"
100127206,"KIAA1024L"
100127888,"SLCO4A1-AS1"
100127889,"C10orf131"
100127893,"RPL7P24"
100127902,"BMI1P1"
